ghcn_din;date;prcp;snow;tmax;tmin;elevation;name;coord;country_code
ITM00016064;2015-08-24;259.0;;;15.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-29;3.0;;18.4;8.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-11;5.0;;20.6;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-15;3.0;;26.4;16.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-29;5.0;;19.2;12.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-25;0.0;;25.2;13.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-30;0.0;;;9.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-09;;;;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-12;0.0;;20.4;12.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-10;0.0;;29.2;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-05;0.0;;33.4;19.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-26;0.0;;27.0;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-01;0.0;;27.4;19.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-25;0.0;;24.4;9.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-29;107.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-02;0.0;;;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-11;0.0;;18.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-02;;;10.2;-0.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-13;0.0;;7.2;-0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-02;0.0;;13.0;3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-12;0.0;;14.8;0.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-11;0.0;;29.2;16.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-17;5.0;;;14.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-24;0.0;;24.4;14.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-30;0.0;;29.6;18.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-13;0.0;;33.8;19.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-10;511.0;;26.4;18.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-09;0.0;;23.4;12.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-13;170.0;;;14.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-06;0.0;;18.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-17;;;;-1.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-31;;;5.4;0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-11;0.0;;10.4;-2.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-12;0.0;;8.6;-3.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-25;0.0;;14.6;4.4;178.6;CAMERI;45.53, 8.669;IT
